sr,stop_id,stop_name,stop_desc,source,rank,stop_lat,stop_lon,po_code
880,PO_880,Agiryala -509207,509207,postoffice,7,17.04776,78.1084,257679
881,PO_881,Ameerpeta -509325,509325,postoffice,7,17.1444,78.32682,251933
882,PO_882,Annaram -509202,509202,postoffice,7,17.02114,78.1981,253049
883,PO_883,Balanagar Sub Post Office -509202,509202,postoffice,7,16.9745,78.18943,176156
884,PO_884,Bangaram Bo -501218,501218,postoffice,7,17.18171,78.39131,220852
885,PO_885,Boorgula -509202,509202,postoffice,7,16.97865,78.2191,253718
886,PO_886,Boorgula -509202,509202,postoffice,7,16.97865,78.2191,253493
887,PO_887,Burgula -509202,509202,postoffice,7,16.9796,78.22202,261299
888,PO_888,Chandanvelly -501503,501503,postoffice,7,17.23258,78.1724,226757
889,PO_889,Chanvelly -501503,501503,postoffice,7,17.27,78.09959,227007
890,PO_890,Chatanpally -509216,509216,postoffice,7,17.07845,78.22654,277801
891,PO_891,Chegur -509325,509325,postoffice,7,17.17477,78.22922,243647
892,PO_892,Chengomal -501501,501501,postoffice,7,17.25703,78.02811,230045
893,PO_893,Chinna Golkonda -501218,501218,postoffice,7,17.2084,78.39007,220998
894,PO_894,Chityal -501501,501501,postoffice,7,17.12584,77.96623,229383
895,PO_895,Chowdapur -509340,509340,postoffice,7,16.98721,77.97645,171723
896,PO_896,Chowdargudem -509207,509207,postoffice,7,17.08303,77.9914,269238
897,PO_897,Chowdoor -509202,509202,postoffice,7,16.97656,78.06695,275564
898,PO_898,Chowdoor -509202,509202,postoffice,7,16.98858,78.04833,275571
899,PO_899,Dubbacherla -509325,509325,postoffice,7,17.10729,78.37259,252551
900,PO_900,Edira -509207,509207,postoffice,7,17.0064,77.99255,256819
901,PO_901,Edira -509207,509207,postoffice,7,17.0064,77.99255,256922
902,PO_902,Farooqnagar -509216,509216,postoffice,7,17.07879,78.20556,275039
903,PO_903,Farooqnagar -50921601,509216,postoffice,7,17.07884,78.20555,276938
904,PO_904,Fathimapur -509325,509325,postoffice,7,17.16756,78.27897,243029
905,PO_905,Gollapalli Kalan -501218,501218,postoffice,7,17.23752,78.39975,220582
906,PO_906,Gundal -501503,501503,postoffice,7,17.25067,78.15729,226645
907,PO_907,Gunded Bo -509202,509202,postoffice,7,16.95052,78.17965,242266
908,PO_908,Hythabad -509217,509217,postoffice,7,17.22381,78.20067,197037
909,PO_909,Inmulnarva -509228,509228,postoffice,7,17.08317,78.29519,246541
910,PO_910,Kadmoor -501501,501501,postoffice,7,17.22076,78.03264,184435
911,PO_911,Kalwakoke -509325,509325,postoffice,7,17.15799,78.34137,277770
912,PO_912,Kalwakole -509325,509325,postoffice,7,17.13437,78.37371,252360
913,PO_913,Kammadanam -509216,509216,postoffice,7,17.02415,78.2287,264483
914,PO_914,Kandawada -501503,501503,postoffice,7,17.27673,78.17835,226539
915,PO_915,Kandlapally -501503,501503,postoffice,7,17.29092,78.02198,227261
916,PO_916,Kankal -501501,501501,postoffice,7,17.20017,78.00644,228761
917,PO_917,Kettireddypalli -501504,501504,postoffice,7,17.24328,78.25982,225828
918,PO_918,Kollur -509202,509202,postoffice,7,16.98858,78.04833,276476
919,PO_919,Kollur -509202,509202,postoffice,7,16.97997,78.04573,276482
920,PO_920,Kondurgu Post Office -509207,509207,postoffice,7,17.09836,78.03631,181043
921,PO_921,Kondurgu Post Office -509207,509207,postoffice,7,17.09831,78.03627,180913
922,PO_922,Kothapally B.O -509340,509340,postoffice,7,16.9268,77.95937,171433
923,PO_923,Kothur -509228,509228,postoffice,7,17.14685,78.28753,246562
924,PO_924,Kudhuvanpur -501501,501501,postoffice,7,17.1358,77.93294,228867
925,PO_925,Kudmoor -501501,501501,postoffice,7,17.22073,78.03242,230238
926,PO_926,Mamidipally -509217,509217,postoffice,7,17.15448,78.18501,197330
927,PO_927,Mamidipally B.O -500005,500005,postoffice,7,17.25193,78.45173,281532
928,PO_928,Manchanapally -501501,501501,postoffice,7,17.18296,77.95365,184752
929,PO_929,Marrikal B.O -509340,509340,postoffice,7,16.92273,77.98754,171272
930,PO_930,Medipally -501501,501501,postoffice,7,17.23185,78.01046,229915
931,PO_931,Mothighanapur -509202,509202,postoffice,7,16.9934,78.19221,253722
932,PO_932,Mujahidpur,,postoffice,7,17.06263,77.91157,386447
933,PO_933,Mujahidpur,,postoffice,7,17.06263,77.91157,386450
934,PO_934,Nagulapally -509216,509216,postoffice,7,17.10116,78.20051,275412
935,PO_935,Nagulpally -509216,509216,postoffice,7,17.10116,78.20068,277560
936,PO_936,Nandigaon -509228,509228,postoffice,7,17.11802,78.25583,246335
937,PO_937,Narkhuda -501218,501218,postoffice,7,17.25862,78.33497,276104
938,PO_938,Narkhuda -501218,501218,postoffice,7,17.25863,78.33491,276246
939,PO_939,Nawabpet -509340,509340,postoffice,7,16.89703,78.03048,171000
940,PO_940,Nizampet Medipally -501501,501501,postoffice,7,17.15873,78.00057,229638
941,PO_941,Palmakole -509325,509325,postoffice,7,17.1834,78.30441,251243
942,PO_942,Pamena -501503,501503,postoffice,7,17.27436,78.123,226928
943,PO_943,Papireddyguda -509216,509216,postoffice,7,17.00753,78.27185,277734
944,PO_944,Pedda Ummenthyal -501501,501501,postoffice,7,17.22314,77.98422,203699
945,PO_945,Penjerla -509228,509228,postoffice,7,17.11062,78.32139,254087
946,PO_946,Petamadaram -501501,501501,postoffice,7,17.1831,77.95357,184530
