sr,stop_id,stop_name,stop_desc,source,rank,stop_lat,stop_lon
218,src5_3506,almasguda,"triveninagar, visaka nagar, almasguda, hyderabad",src5,3,17.30934,78.53322
219,983,almasguda,,shakti-gtfs,5,17.30924,78.53145
220,src5_3668,almasguda cyr colony,"almasguda road, visaka nagar, almasguda, hyderabad",src5,3,17.3074,78.53533
221,1978,almasguda kaman,,shakti-gtfs,5,17.31279,78.53285
222,287,alugadda baavi,,shakti-gtfs,5,17.43539,78.5144
223,src5_3429,alugadda bhavi,"inner ring road, alugaddabavi, mettuguda, secunderabad",src5,3,17.43526,78.51457
224,src5_3433,alugadda bhavi,,src5,3,17.43551,78.51411
225,1493,alur,,shakti-gtfs,5,17.32876,78.06979
226,1504,alur x road,,shakti-gtfs,5,17.30918,78.05469
227,1456,alwal,alwal towards lothkunta,gps-logs-ghz|kodali-stops,2,17.50157,78.51403
228,1617,alwal,alwal towards alwal ps,gps-logs-ghz|kodali-stops,2,17.50236,78.51402
229,src5_1208,alwal,"siddipet road, golnaka, alwal, secunderabad",src5,3,17.5021,78.51398
230,src5_1210,alwal,"siddipet road, mallareddy nagar, lothukunta, alwal, secunderabad",src5,3,17.50156,78.51408
231,node/3530746702,alwal,,osm,4,17.50152,78.51412
232,591,alwal,,shakti-gtfs,5,17.50169,78.51394
233,src5_1191,alwal hills,"ht road, kandlakoya, manjira nagar colony, alwal, secunderabad",src5,3,17.51295,78.49471
234,1452,alwal police station,alwal policestation towards gandhi statue,gps-logs-ghz|kodali-stops,2,17.50307,78.51113
235,1455,alwal police station,alwal policestation towards alwal,gps-logs-ghz|kodali-stops,2,17.50323,78.5114
236,src5_1196,alwal police station,"golnaka, alwal, secunderabad",src5,3,17.50313,78.51105
237,src5_1197,alwal police station,"temple alwal, alwal, secunderabad",src5,3,17.50325,78.51107
238,811,alwal police station,,shakti-gtfs,5,17.50318,78.51077
239,1356,alwal satya,,shakti-gtfs,5,17.49925,78.51361
240,src5_1996,alwyin colony x road,"nh 9, miyapur -chanda nagar rd",src5,3,17.49383,78.34985
241,src5_767,amba theatre,"gudi malkapur road, migh colony, mehdipatnam, hyderabad",src5,3,17.39381,78.44251
242,src5_769,amba theatre,,src5,3,17.39418,78.44215
243,src5_1748,ambedhkar,"hyderabad - warangal - bhopalpatnam highway, narapally, hyderabad",src5,3,17.41763,78.62643
244,1451,ambedkar,ambedkar towards alwal police station,gps-logs-ghz|kodali-stops,2,17.50613,78.50486
245,src5_3236,ambedkar college,"bagh lingampally road, ap housing board, chikkadpally, new nallakunta, hyderabad",src5,3,17.40134,78.49948
246,src5_251,ambedkar colony,"fair lands, serilingampally, hyderabad",src5,3,17.47647,78.2964
247,3886,ambedkar nagar,ambedkar nagar,gps-logs-ghz,2,17.50744,78.58285
248,src5_1548,ambedkar nagar,"ambedkar nagar, secunderabad",src5,3,17.5069,78.58358
249,src5_1549,ambedkar nagar,secunderabad,src5,3,17.50693,78.5837
250,547,ambedkar nagar,,shakti-gtfs,5,17.50756,78.5828
251,525,ambedkar nagar alwal,,shakti-gtfs,5,17.51566,78.50135
252,src5_2148,ambedkar nagar colony,"behind padamalya studio, road number 78, ambedkar nagar, film nagar, hyderabad",src5,3,17.41793,78.40028
253,src5_1787,ambedkar nagar rtc,"narapally, secunderabad",src5,3,17.42976,78.61718
254,3808,ambedkar open university,ambedkar open university,gps-logs-ghz,2,17.43424,78.39649
255,1451,ambedkar open university,,shakti-gtfs,5,17.43432,78.39647
256,src5_1180,ambedkar statue,"old alwal road, vasavi nagar, alwal, secunderabad",src5,3,17.5064,78.50469
257,src5_1646,ambedkar statue,,src5,3,17.19363,78.64553
258,src5_1647,ambedkar statue,,src5,3,17.19369,78.64562
259,src5_2069,ambedkar university,,src5,3,17.4337,78.39765
260,src5_2070,ambedkar university,,src5,3,17.43348,78.39776
261,1145,ambedkar x road,ambedkar x road towards ibrahimpatnam old busstand,gps-logs-ghz|kodali-stops,2,17.19374,78.64625
262,928,amberpet,amberpet towards 6 number,gps-logs-ghz|kodali-stops,2,17.392,78.51648
263,929,amberpet,amberpet towards amberpet gandhi statue,gps-logs-ghz|kodali-stops,2,17.39234,78.51688
264,2087,amberpet,amberpet towards 6number,gps-logs-ghz|kodali-stops,2,17.39123,78.51613
265,src5_1623,amberpet,amberpet,src5,3,17.77707,78.57013
266,src5_3367,amberpet,"beside amberpet police station, police lines, tirumala nagar, moosarambagh road, police quarters, quadri bagh, amberpet, hyderabad",src5,3,17.38959,78.51426
267,src5_3368,amberpet,"moosarambagh road, police quarters, police lines, amberpet, hyderabad",src5,3,17.39014,78.51651
268,src5_3370,amberpet,"bapunagar road, amberpet, hyderabad",src5,3,17.39134,78.51623
269,src5_3376,amberpet,"amberpet main road, poornodhaya colony, mch quarters, amberpet, hyderabad",src5,3,17.39218,78.5173
270,node/1152749054,amberpet,,osm,4,17.39207,78.51647
271,node/2712702745,amberpet,,osm,4,17.3916,78.51622
272,604,amberpet,,shakti-gtfs,5,17.39051,78.5163
273,src5_3371,amberpet 6 number,,src5,3,17.39142,78.5126
274,src5_3372,amberpet 6 number,"national highway 163, bagh amberpet, amberpet, hyderabad",src5,3,17.39157,78.51238
275,src5_3365,amberpet ali cafe,"moosarambagh road, ganga nagar, amberpet, hyderabad",src5,3,17.38252,78.51803
276,src5_3366,amberpet ali cafe,,src5,3,17.38241,78.51823
277,350,amberpet chey number,,shakti-gtfs,5,17.39117,78.51092
278,930,amberpet gandhi statue,amberpet gandhi statue towards irani hotel,gps-logs-ghz|kodali-stops,2,17.3927,78.51962
279,954,amberpet gandhi statue,amberpet gandhi statue towards amberpet,gps-logs-ghz|kodali-stops,2,17.39246,78.51947
280,src5_3384,amberpet gandhi statue,"amberpet main road, poornodhaya colony, mch quarters, amberpet, hyderabad",src5,3,17.39266,78.51976
281,src5_3385,amberpet gandhi statue,,src5,3,17.39241,78.51962
282,1980,amberpet gandhi statue,,shakti-gtfs,5,17.39246,78.5193
283,1636,amberpet police academy,,shakti-gtfs,5,17.38664,78.51652
284,src5_3363,amberpet police line,"moosarambagh road, police quarters, ganga nagar, amberpet, hyderabad",src5,3,17.3865,78.51652
285,src5_3364,amberpet police line,,src5,3,17.38644,78.51671
286,src5_3362,amberpet police lines,"moosarambagh road, premnagar, quadri bagh, amberpet, hyderabad",src5,3,17.38618,78.51573
287,src5_3369,amberpet police station,,src5,3,17.39024,78.51649
288,2000,amberpet police station,,shakti-gtfs,5,17.39208,78.51623
289,src5_1677,amberpet village,,src5,3,17.32033,78.63756
290,src5_1678,amberpet village,,src5,3,17.32037,78.63766
291,1645,amdapur,,shakti-gtfs,5,17.27718,78.29115
292,src5_348,ameenpur,"ameenpur, miyapur, hyderabad",src5,3,17.52397,78.32422
293,src5_349,ameenpur,"aminpur road, ameenpur village, ameenpur, miyapur, hyderabad",src5,3,17.5237,78.32408
294,878,ameerpet,ameerpet towards nims hospital,gps-logs-ghz|kodali-stops,2,17.43162,78.448
295,899,ameerpet,ameerpet towards mythrivanam,gps-logs-ghz|kodali-stops,2,17.43181,78.44748
296,1057,ameerpet,ameerpet towards lalbungalow,gps-logs-ghz|kodali-stops,2,17.4347,78.44873
297,1062,ameerpet,ameerpet towards  mythrivanam,gps-logs-ghz|kodali-stops,2,17.43458,78.44797
298,src5_2437,ameerpet,"near saradhi studio , opposite maitrivanam, yousufguda main road, ameerpet, hyderabad",src5,3,17.43273,78.44251
299,src5_2442,ameerpet,,src5,3,17.43404,78.4463
300,src5_2443,ameerpet,,src5,3,17.43322,78.44656
301,src5_2447,ameerpet,"ameerpet road, pratap nagar, nagarjuna nagar colony, yella reddy guda, hyderabad",src5,3,17.43161,78.44758
302,src5_2448,ameerpet,"ameerpet foot over bridge, punjagutta officers colony, ameerpet, hyderabad",src5,3,17.43178,78.44796
303,src5_2449,ameerpet,"gurudwara lane, ameerpet, hyderabad",src5,3,17.43458,78.44794
304,src5_2583,ameerpet,,src5,3,17.42966,78.45044
305,src5_2600,ameerpet,,src5,3,17.43745,78.44825
306,218,ameerpet,,shakti-gtfs,5,17.43196,78.4475
307,src5_2588,ameerpet / sheesh mahal,"sheesh mahal theatre road, swathi avenue, ameerpet, hyderabad",src5,3,17.43461,78.44889
308,src5_2589,ameerpet / sheesh mahal,,src5,3,17.43441,78.44867
309,src5_2598,ameerpet near gurudwara,,src5,3,17.43605,78.44828
310,src5_2599,ameerpet satyam theatre,,src5,3,17.43698,78.44822
311,1603,ameerpet village,,shakti-gtfs,5,17.14981,78.34359
312,2042,ammu guda,ammu guda,gps-logs-ghz|kodali-stops,2,17.49705,78.53254
313,2053,ammu guda,ammu guda to,gps-logs-ghz|kodali-stops,2,17.49677,78.53243
314,node/973261735,ammu guda,,osm,4,17.49671,78.53239
315,810,ammu guda,,shakti-gtfs,5,17.4969,78.53212
316,src5_3657,ammuguda bazar,"road number 7, ammuguda, sainikpuri, secunderabad",src5,3,17.49703,78.53202
317,src5_3658,ammuguda bazar,,src5,3,17.49672,78.53246
318,src5_3662,ammuguda bazar,,src5,3,17.49687,78.53246
319,626,amrutha valley,,shakti-gtfs,5,17.4078,78.44558
320,2223,anajipur,,shakti-gtfs,5,17.27017,78.69374
321,src5_1899,anajpur,,src5,3,17.27019,78.6934
322,src5_1900,anajpur,anajpur,src5,3,17.27025,78.69337
